"","mask","nomask","mask.density.weighted","nomask.density.weighted","mask.pop.weighted","nomask.pop.weighted"
"2020-07-01",37110,25382,97962.0499020466,61230.8542508752,143868.330202541,66283.0323040444
"2020-07-02",38016,26118,98737.9167943168,63998.8907693393,146866.345178645,69326.4319673392
"2020-07-03",39141,26877,99505.291074344,66643.2532338132,149796.73003799,72272.668075438
"2020-07-04",39830.5,27695.5,100155.569174078,69531.3590215878,152604.558115454,75432.9090806064
"2020-07-05",40710.5,27952.5,100711.916079549,72064.6828885483,154727.855264383,78244.6777925558
"2020-07-06",41697.5,28455,101382.741195449,73874.3086425145,157518.196492524,80271.9714998237
"2020-07-07",42424,29178,102187.914872674,75980.0853520826,161040.576421402,82661.7892565683
"2020-07-08",43311.5,29818.5,102965.650219392,78749.2318443275,164389.279082166,85724.8157057825
"2020-07-09",43789,30474,103747.957283174,81288.3585540964,167671.6592052,88553.4560021162
"2020-07-10",44188.5,31342,104587.805008047,84584.8190661768,171033.210233937,92217.3696110538
"2020-07-11",44306.5,31883,105387.118272925,87490.4020089809,174224.319266274,95381.9229956605
"2020-07-12",44734,32481,106088.041483989,91086.9528830335,176948.181119394,99303.0876129039
"2020-07-13",45524,32956.5,106885.685022499,94330.2909999807,180193.920583396,102811.298416573
"2020-07-14",45893.5,33379.5,107835.981357054,97010.3728378634,184106.269552945,105778.990074978
"2020-07-15",46320,34136.5,108766.379760416,99953.1547178323,187918.61648207,109012.531419909
"2020-07-16",47009,35005,109722.894132256,103529.476939455,192219.538832135,112932.383081162
"2020-07-17",47559.5,35719.5,110636.498866439,106773.034039793,195975.909317547,116494.565354161
"2020-07-18",47891,36338.5,111445.683016472,109803.736299008,199190.902809949,119800.072731914
"2020-07-19",48247,36983.5,112203.064299283,113008.927185138,202277.28253568,123266.093628622
